Age,primary_location,Gender,Saavnify_usage_period,Saavnify_listening_device,Saavnify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
20-35,Chennai,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Office,Playlists,3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Mumbai,Male,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,All,Night,Relaxation/Stress Relief,Random,Recommendations,5,Rarely,None,None,None,None,Ok
20-35,Mumbai,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Morning,Uplifting/Motivational,Office,Recommendations,3,Never,None,Educational,Both,Shorter,Ok
20-35,Chandigarh,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation/Stress Relief,Workout,Playlists,4,Rarely,Health and Fitness,Educational,Well known individuals,Longer,Satisfied
20-35,Chennai,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Rarely,None,Story telling,Both,Both,Ok
20-35,Ahmedabad,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rap,Morning,Relaxation/Stress Relief,Office,Recommendations,4,Never,None,None,None,None,Ok
20-35,Bengaluru,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Pop,Morning,Relaxation/Stress Relief,Travel,Playlists,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Shorter,Ok
12-20,Jaipur,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,Relaxation/Stress Relief,Office,Recommendations,3,Once a week,Comedy,Conversational,Both,Both,Satisfied
20-35,Jaipur,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,2,Never,None,Story telling,None,Shorter,Very Dissatisfied
20-35,Chandigarh,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Daily,Sports,Conversational,Both,Both,Very Satisfied
20-35,Mumbai,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation/Stress Relief,Leisure,Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Shorter,Dissatisfied
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,K-Pop,Night,Uplifting/Motivational,Study,Others,5,Rarely,Spiritual and Devotional,Story telling,Both,Shorter,Satisfied
20-35,Delhi,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Study,Recommendations,5,Several times a week,None,None,None,Both,Satisfied
20-35,Chandigarh,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Afternoon,Relaxation/Stress Relief,Travel,Others,3,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
20-35,Pune,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Ok
20-35,Ahmedabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Afternoon,Social/Party,Travel,Recommendations,4,Rarely,Comedy,Conversational,unknown Podcasters,Shorter,Satisfied
20-35,Kolkata,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Several times a week,Comedy,Story telling,Both,Shorter,Ok
20-35,Mumbai,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Others,3,Never,None,None,None,None,Ok
20-35,Delhi,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Classical,Morning,Uplifting/Motivational,Workout,Playlists,1,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
12-20,Jaipur,Female,6 months to 1 year,PC or Laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Sad/Melancholic,Travel,Radio,3,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok
20-35,Hyderabad,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Sad/Melancholic,Travel,Radio,3,Once a week,Sports,Interview,Well known individuals,Longer,Ok
12-20,Delhi,Female,1 year to 2 years,PC or Laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sad/Melancholic,Study,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Bengaluru,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Classical,Afternoon,Sad/Melancholic,Travel,Playlists,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok
20-35,Hyderabad,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Rap,Morning,Uplifting/Motivational,Travel,Radio,3,Once a week,Lifestyle and Health,Interview,unknown Podcasters,Longer,Satisfied
12-20,Pune,Female,6 months to 1 year,Smart Speakers or Voice Assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Classical,Morning,Uplifting/Motivational,Study,Radio,3,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
12-20,Jaipur,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Others,5,Daily,Health and Fitness,Educational,Well known individuals,Shorter,Very Satisfied
12-20,Hyderabad,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Sad/Melancholic,Workout,Playlists,4,Several times a week,Lifestyle and Health,Interview,Well known individuals,Longer,Satisfied
20-35,Delhi,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Sad/Melancholic,Workout,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
20-35,Pune,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Classical,Afternoon,Sad/Melancholic,Study,Playlists,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
20-35,Pune,Female,6 months to 1 year,PC or Laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Uplifting/Motivational,Travel,Playlists,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Delhi,Female,1 year to 2 years,PC or Laptop,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,Uplifting/Motivational,Study,Playlists,3,Several times a week,Health and Fitness,Story telling,Both,Longer,Satisfied
20-35,Pune,Others,1 year to 2 years,PC or Laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Classical,Afternoon,Uplifting/Motivational,Study,Playlists,3,Once a week,Sports,Interview,unknown Podcasters,Shorter,Ok
20-35,Kolkata,Female,6 months to 1 year,Smartphone,Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Classical,Morning,Uplifting/Motivational,Office,Playlists,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Very Satisfied
20-35,Kolkata,Female,1 year to 2 years,PC or Laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation/Stress Relief,Study,Playlists,3,Once a week,Sports,Interview,unknown Podcasters,Both,Ok
20-35,Ahmedabad,Female,1 year to 2 years,PC or Laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,Classical,Afternoon,Uplifting/Motivational,Study,Playlists,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Bengaluru,Female,6 months to 1 year,PC or Laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Classical,Morning,Uplifting/Motivational,Office,Recommendations,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
12-20,Jaipur,Female,6 months to 1 year,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Relaxation/Stress Relief,Office,Recommendations,2,Several times a week,Health and Fitness,Story telling,Both,Longer,Ok
12-20,Pune,Female,6 months to 1 year,Smart Speakers or Voice Assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Social/Party,Study,Radio,3,Rarely,Sports,Conversational,unknown Podcasters,Longer,Ok
20-35,Pune,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Classical,Afternoon,Sad/Melancholic,Travel,Playlists,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
35-60,Hyderabad,Female,1 year to 2 years,PC or Laptop,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Classical,Morning,Uplifting/Motivational,Travel,Radio,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
35-60,Bengaluru,Female,Less than 6 months,Smartphone,Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Pop,Morning,Relaxation/Stress Relief,Study,Recommendations,2,Once a week,Sports,Interview,unknown Podcasters,Longer,Ok
35-60,Pune,Female,6 months to 1 year,Smart Speakers or Voice Assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Melody,Afternoon,Uplifting/Motivational,Travel,Playlists,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Jaipur,Female,1 year to 2 years,PC or Laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Sad/Melancholic,Workout,Playlists,2,Several times a week,Health and Fitness,Story telling,Both,Both,Dissatisfied
12-20,Bengaluru,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Afternoon,Relaxation/Stress Relief,Study,Playlists,3,Once a week,Health and Fitness,Interview,Well known individuals,Both,Ok
20-35,Delhi,Female,6 months to 1 year,PC or Laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,Music,Classical,Night,Sad/Melancholic,Workout,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
12-20,Ahmedabad,Female,1 year to 2 years,PC or Laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Relaxation/Stress Relief,Travel,Radio,3,Once a week,Health and Fitness,Interview,Both,Longer,Satisfied
20-35,Kolkata,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Others,4,Rarely,Health and Fitness,None,Both,Shorter,Ok
35-60,Pune,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Uplifting/Motivational,Travel,Others,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Mumbai,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Uplifting/Motivational,Study,Playlists,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
20-35,Kolkata,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,3,Never,Comedy,Conversational,Well known individuals,Longer,Ok
20-35,Kolkata,Female,6 months to 1 year,PC or Laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Rap,Morning,Uplifting/Motivational,Travel,Radio,2,Several times a week,Lifestyle and Health,Educational,unknown Podcasters,Longer,Dissatisfied
20-35,Pune,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Premium (paid subscription),No,Family Plan-Rs 179/month,Music,Classical,Night,Sad/Melancholic,Travel,Others,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied
20-35,Hyderabad,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Melody,Afternoon,Relaxation/Stress Relief,Office,Radio,3,Several times a week,Lifestyle and Health,Interview,unknown Podcasters,Longer,Satisfied
20-35,Ahmedabad,Female,1 year to 2 years,PC or Laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Relaxation/Stress Relief,Office,Recommendations,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Chandigarh,Female,1 year to 2 years,PC or Laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Uplifting/Motivational,Workout,Radio,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok
20-35,Delhi,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Sad/Melancholic,Office,Recommendations,2,Once a week,Lifestyle and Health,Educational,unknown Podcasters,Both,Ok
20-35,Hyderabad,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Uplifting/Motivational,Study,Recommendations,4,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok
20-35,Kolkata,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Melody,Morning,Relaxation/Stress Relief,Study,Recommendations,3,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok
12-20,Chandigarh,Female,6 months to 1 year,PC or Laptop,Premium (paid subscription),No,Individual Plan- Rs 119/ month,Music,Classical,Afternoon,Uplifting/Motivational,Workout,Radio,2,Several times a week,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied
20-35,Hyderabad,Female,6 months to 1 year,PC or Laptop,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Morning,Uplifting/Motivational,Office,Playlists,3,Several times a week,Lifestyle and Health,Story telling,unknown Podcasters,Longer,Very Satisfied
20-35,Chandigarh,Others,1 year to 2 years,PC or Laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,Music,Classical,Afternoon,Uplifting/Motivational,Travel,Radio,2,Once a week,Sports,Story telling,unknown Podcasters,Longer,Satisfied
12-20,Ahmedabad,Female,6 months to 1 year,Smart Speakers or Voice Assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Uplifting/Motivational,Travel,Playlists,3,Several times a week,Sports,Story telling,Both,Longer,Ok
20-35,Delhi,Female,6 months to 1 year,Smart Speakers or Voice Assistants,Premium (paid subscription),No,Family Plan-Rs 179/month,Music,Melody,Afternoon,Sad/Melancholic,Travel,Others,2,Once a week,Sports,Conversational,Both,Longer,Ok
20-35,Chennai,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Melody,Afternoon,Sad/Melancholic,Workout,Others,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Mumbai,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Rap,Afternoon,Sad/Melancholic,Travel,Radio,3,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok
12-20,Ahmedabad,Female,6 months to 1 year,PC or Laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Classical,Morning,Sad/Melancholic,Travel,Playlists,3,Once a week,Sports,Interview,Both,Longer,Ok
12-20,Hyderabad,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Classical,Afternoon,Sad/Melancholic,Travel,Others,3,Once a week,Health and Fitness,Educational,unknown Podcasters,Both,Satisfied
20-35,Mumbai,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation/Stress Relief,Leisure,Others,2,Rarely,Health and Fitness,Educational,Well known individuals,Shorter,Ok
20-35,Hyderabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Never,None,None,None,None,Ok
20-35,Kolkata,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Several times a week,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
20-35,Mumbai,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,3,Never,None,None,None,None,Ok
20-35,Pune,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Classical,Morning,Relaxation/Stress Relief,Study,Recommendations,3,Daily,None,None,None,None,Ok
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Classical,Night,Sad/Melancholic,Leisure,Others,3,Never,None,None,None,None,Ok
20-35,Hyderabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
20-35,Jaipur,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok
20-35,Bengaluru,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Never,None,None,None,None,Satisfied
20-35,Kolkata,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,Story telling,None,None,Ok
20-35,Pune,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Morning,Uplifting/Motivational,Travel,Others,3,Never,None,None,None,None,Ok
20-35,Jaipur,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,1,Rarely,Finance,Story telling,Both,Shorter,Ok
20-35,Pune,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Others,4,Never,Food and Cooking,None,None,None,Ok
20-35,Ahmedabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Afternoon,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Comedy,None,None,Shorter,Ok
20-35,Delhi,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Playlists,3,Rarely,None,Story telling,Both,Both,Satisfied
20-35,Delhi,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Rarely,Comedy,Conversational,Well known individuals,Both,Ok
20-35,Mumbai,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,Uplifting/Motivational,Leisure,Playlists,4,Rarely,Lifestyle and Health,Educational,Both,Both,Very Satisfied
20-35,Pune,Female,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Classical,Night,Relaxation/Stress Relief,Workout,Recommendations,4,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
20-35,Mumbai,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Radio,3,Several times a week,None,None,None,None,Ok
12-20,Kolkata,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Study,Others,3,Never,None,None,None,None,Ok
20-35,Hyderabad,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Electronic/Dance,Night,Relaxation/Stress Relief,Office,Playlists,3,Once a week,Lifestyle and Health,Story telling,Both,Both,Ok
20-35,Mumbai,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation/Stress Relief,Office,Recommendations,5,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Bengaluru,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,None,None,None,None,Satisfied
20-35,Kolkata,Female,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation/Stress Relief,Office,Recommendations,4,Rarely,Murder Mystery,Story telling,Both,Both,Ok
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Others,4,Never,Health and Fitness,Interview,Well known individuals,Shorter,Ok
20-35,Kolkata,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Ok
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation/Stress Relief,Office,Recommendations,4,Rarely,Health and Fitness,Story telling,Well known individuals,Shorter,Ok
20-35,Delhi,Female,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Study,Recommendations,4,Rarely,Comedy,Story telling,Both,Both,Ok
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Playlists,5,Never,None,None,None,None,Dissatisfied
20-35,Delhi,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Once a week,Food and Cooking,Conversational,Both,Both,Ok
20-35,Bengaluru,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Melody,Night,Relaxation/Stress Relief,Leisure,Recommendations,3,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Pune,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation/Stress Relief,Study,Radio,1,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
20-35,Kolkata,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Classical,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Several times a week,Comedy,Story telling,Both,Shorter,Ok
20-35,Delhi,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Social/Party,Travel,Others,4,Rarely,Comedy,None,None,None,Dissatisfied
20-35,Delhi,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,5,Several times a week,Health and Fitness,Story telling,Both,Both,Ok
20-35,Chennai,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,Comedy,Conversational,Both,Both,Ok
20-35,Delhi,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,3,Rarely,Political,Conversational,Both,Both,Ok
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Mumbai,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Study,Recommendations,4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Hyderabad,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Electronic/Dance,Morning,Relaxation/Stress Relief,Office,Recommendations,3,Rarely,Sports,Educational,Well known individuals,Shorter,Dissatisfied
20-35,Hyderabad,Female,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sad/Melancholic,Leisure,Recommendations,3,Never,None,Conversational,Well known individuals,Shorter,Satisfied
20-35,Ahmedabad,Male,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Classical,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
60+,Hyderabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Chandigarh,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Afternoon,Relaxation/Stress Relief,Office,Recommendations,5,Never,None,None,None,None,Ok
20-35,Kolkata,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Office,Recommendations,5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Both,Satisfied
20-35,Chandigarh,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Never,None,None,None,None,Ok
20-35,Ahmedabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
20-35,Mumbai,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
20-35,Chennai,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,K-Pop,Night,Relaxation/Stress Relief,Leisure,Playlists,3,Never,None,None,None,None,Ok
20-35,Mumbai,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,All,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
